objectid,audience,alternateIdentifier,provenance,dateAccepted,extent,type,medium,date,subject/geographic,originInfo/place,culture,description,display_template,object_location,title,format
8015,Ethnology & Material Culture,Accession Number: 278,"Purchase; Captured in Teresa? District
April 5, 1904",04/20/1926,2,Ethnographic; Dagger and sheath,Serpentine,,Asia-Southeast Asia-Philippines--,,,"Serpentine kris-dagger and scabbard 

Used in close combat; ",,,8015,
8018,Ethnology & Material Culture,Accession Number: 278,Purchase,04/20/1926,1,Ethnographic; Kris,Metal; Wood,,Asia-Southeast Asia-Philippines--,Cattobatto Valley; Tayolan,,"One wavy and straight kris dagger, no sheath.  Note reads, ""Used in fighting at close quarters.  Captured at Tayolan, Cattobatto Valley, January 27, 1905.""; ",,,8018,
8020,Ethnology & Material Culture,Accession Number: 278,Purchase,04/20/1926,1,Ethnographic; Dagger,Metal; Wood,,Asia-Southeast Asia-Philippines-Lanao del Sur-,Mindanao Island; Taraca District,,"One dirk-dagger (sheath missing since before 1945).  Note says the weapon was used in close combat, captured in Taraca District, April 5, 1904.; ",,,8020,
8021,Ethnology & Material Culture,Accession Number: 278,Purchase,04/20/1926,1,Ethnographic; Dagger and sheath,Metal; Wood; Wicker,,Asia-Southeast Asia-Philippines--,Cattobatto Valley; Tayolin,,"One dirk-dagger and sheath, cannot be separated.  Dagger has a metal blade and wooden handle.  Sheath is wooden with wicker bands.  Note reads, ""Used in fighting at close quarters.  Captured at Tayolin, Cattobatto Valley, Jan. 27, 1905.""; ",,,8021,
8023,Ethnology & Material Culture,Accession Number: 278,Purchase,04/20/1926,1,Ethnographic; Dagger,Metal; Wood,,Asia-Southeast Asia-Philippines--,,,"One Punal de kris dagger, with a metal blade and wooden handle. 

""Captured from the Sultan of Pinud Gata, january 1, 1905""; ",,,8023,
8024,Asian Ethnology,Accession Number: 278,Purchase,04/20/1926,1,Ethnographic; Dagger,Unknown,,Asia-Southeast Asia-Philippines-Lanao del Sur-,Malabang,,,,,8024,
8026,Ethnology & Material Culture,Accession Number: 278,Purchase,04/20/1926,1,Ethnographic; Knife,Metal,,Asia-Southeast Asia-Philippines-Lanao del Norte-,Mindan; Taraca District,,A Buyo knife - used to cut tobacco and areca nut - One end is used to scrape lime out of the box.; ,,,8026,
8027,Ethnology & Material Culture,Accession Number: 278,Purchase,04/20/1926,1,Ethnographic; Knife,Metal; Wood,,Asia-Southeast Asia-Philippines--,,,Metal blade with a wood handle. Used to cut tobacco and areca nut; ,,,8027,
8028,Ethnology & Material Culture,Accession Number: 278,Purchase,04/20/1926,1,Ethnographic; Knife,Metal; Copper; Wood,,Asia-Southeast Asia-Philippines--,,,One Buyo knife with a metal blade and wooden handle.  Used to cut tobacco and areca nut.; ,,,8028,
8029,Ethnology & Material Culture,Accession Number: 278,Purchase,04/20/1926,1,Ethnographic; Knife,Metal; Wood,,Asia-Southeast Asia-Philippines--,,,Buyo Knife with metal blade and wood handle; ,,,8029,
8030,Ethnology & Material Culture,Accession Number: 278,Purchase,04/20/1926,1,Ethnographic; Knife,Metal; Leather (tanned); Wood; Wicker,,Asia-Southeast Asia-Philippines-Lanao del Sur-,Taraca District,,"One knife for cutting rice, metal blade, wooden handle with leather and wicker trim.  Note says that it was picked up after a fight in Taraca District, April 6, 1904.; ",,,8030,
8031,Ethnology & Material Culture,Accession Number: 278,Purchase,04/20/1926,1,Ethnographic,Metal; Wood; Wicker,,Asia-Southeast Asia-Philippines--,,,"One sickle for harvesting rice, metal blade with wooden and wicker handle. 

Picked up after a fight with natives in the Taraca District, April 6, 1904; ",,,8031,
8032,Ethnology & Material Culture,Accession Number: 278,Purchase,04/20/1926,1,Ethnographic; Knife,Wood; Botanical; Animal bone,,Asia-Southeast Asia-Philippines--,,,"One knife with a single shark tooth as a blade, hafted in wood using botanical material cordage.; ",,,8032,
8033,Ethnology & Material Culture,Accession Number: 278,Purchase,04/20/1926,1,Ethnographic; Sword,Metal,,Asia-Southeast Asia-Philippines--,Mindanao Island;,,"One old Spanish blade, three prongs, no handle or shaft.; ",,,8033,
8034,Ethnology & Material Culture,Accession Number: 278,Purchase,04/20/1926,1,Ethnographic; Axe,Metal; Wood,,Asia-Southeast Asia-Philippines-Lanao del Sur-,Mindanao Island; Malabang,Moro,"One Moro hatchet, picked up at Malabang, Sept. 30, 1904.; ",,,8034,
8035,Ethnology & Material Culture,Accession Number: 278,Purchase,04/20/1926,1,Ethnographic; Powder Horn/Powder Case,Horn; Wood,,Asia-Southeast Asia-Philippines--,,,"A piece of wood with a wicker strip - the lid for a powder horn.  Oval shaped with a ""stem""  The actual horn is missing.; Powder horn (lid) - taken from dead body of one of Sultan Taraca's fighting men. When found, it was half full of powder. Made from horn of a carabao, or water buffalo.",,,8035,
8036,Ethnology & Material Culture,Accession Number: 278,Purchase,04/20/1926,1,Ethnographic; Bracelet,Wood,,Asia-Southeast Asia-Philippines--,,,A wooden wristlet for protection from bows.; ,,,8036,
8037,Ethnology & Material Culture,Accession Number: 278,Purchase,04/20/1926,1,Ethnographic; Bracelet,Wood,,Asia-Southeast Asia-Philippines--,,,A wooden wristlet for protection from bows.; ,,,8037,
8039,Ethnology & Material Culture,Accession Number: 278,Purchase,04/20/1926,1,Ethnographic; Gun Stock,Wood; Metal; Wicker,,Asia-Southeast Asia-Philippines--,,Moro,"Gun stock with no barrel, trigger mechanism, etc.  Made by a Moro.; ",,,8039,
8040,Ethnology & Material Culture,Accession Number: 278,Purchase,04/20/1926,1,Ethnographic; Knife,Metal; Wood,,Asia-Southeast Asia-Philippines--,,,One knife with a metal blade and a wooden handle.; ,,,8040,
8043,Ethnology & Material Culture,Accession Number: 278,Purchase,04/20/1926,1,Ethnographic; Pipe cleaner,Metal,,Asia-Southeast Asia-Philippines--,,,A metal and wood opium pipe cleaner.; ,,,8043,
8045,Ethnology & Material Culture,Accession Number: 278,Purchase,04/20/1926,1,Ethnographic; Pipe,Bamboo; Metal,,Asia-Southeast Asia-Philippines--,,Chinese,One opium pipe.  Bamboo with metal bowl.; ,,,8045,
8046,Ethnology & Material Culture,Accession Number: 278,Purchase,04/20/1926,1,Ethnographic; Pipe,Bamboo; Wood; Metal,,Asia-Southeast Asia-Philippines--,,Chinese,Chinese opium pipe (bamboo with metal bowl).  Bowl missing.  Wooden frog detail looking at bowl.; ,,,8046,
8047,Asian Ethnology,Accession Number: 278,Purchase,04/20/1926,1,Ethnographic; Pipe,Wood,,Asia-Southeast Asia-Philippines--,,,Opium pipe bowl; ,,,8047,
8048,Ethnology & Material Culture,Accession Number: 278,Purchase,04/20/1926,1,Ethnographic; Pipe,Earthenware,,Asia-Southeast Asia-Philippines--,,,A pottery opium pipe bowl.; ,,,8048,
8049,Ethnology & Material Culture,Accession Number: 278,Purchase,04/20/1926,6,Ethnographic; Eating Utensil,Wood,,Asia-Southeast Asia-Philippines--,,,"6 wooden chopsticks, one is natural colored wood, the other five are purple.; probably made in China - tag says China",,,8049,
8050,Ethnology & Material Culture,Accession Number: 278,Purchase,04/20/1926,1,Ethnographic; Comb,Bamboo,,Asia-Southeast Asia-Philippines--,,,A round bamboo comb.; ,,,8050,
8051,Ethnology & Material Culture,Accession Number: 278,Purchase,04/20/1926,1,Ethnographic; Comb,Wood,,Asia-Southeast Asia-Philippines-Lanao del Sur-,Mindanao; Malabang,,"A woman's comb.  Handmade from wood, October 5, 1905; ",,,8051,
8052,Ethnology & Material Culture,Accession Number: 278,Purchase,04/20/1926,1,Ethnographic; Comb,Wood,,Asia-Southeast Asia-Philippines--,,,A wooden comb; ,,,8052,
8056,Ethnology & Material Culture,Accession Number: 278,Purchase,04/20/1926,1,Ethnographic; Cigarette case,Textile,,Asia-Southeast Asia-Philippines-Lanao del Sur-,Mindanao; Malabang,,"Cigarette case. Plain weave cloth case made of two pouches with the smaller of the two fitting inside the other. Woven on a black warp with white and blue weft of alternating stripes of various sized. The center has five concentric diamonds for a pattern.; tag says: Marie Morse collection. Philippine Islands, Malabang 1905",,,8056,
8057,Ethnology & Material Culture,Accession Number: 278,Purchase,04/20/1926,1,Ethnographic; Cigarette case,Unknown,,Asia-Southeast Asia-Philippines-Lanao del Sur-,Mindanao; Malabang,,"Cigarette case. The case is two pouches with the smaller of the two fitting inside the other to form a closed case. Diagonal weave with black, purple and green diamonds.; ",,,8057,
8058,Ethnology & Material Culture,Accession Number: 278,Purchase,04/20/1926,1,Ethnographic; Pitcher,Wood,,Asia-Southeast Asia-Philippines--,,,A carved wooden pitcher.; ,image,/objects/8058_1.jpg,8058,image/jpg
8066,Ethnology & Material Culture,Accession Number: 278,Purchase,04/20/1926,1,Ethnographic; Model,Wood; Glass; Fiber; Cork,,Asia-Southeast Asia-Philippines--,,,"A ship in a bottle.; Attached card: "" Made by a sailor at Norfolk, VA""",image,/objects/8066_1.jpg,8066,image/jpg
8068,Ethnology & Material Culture,Accession Number: 278,Purchase,04/20/1926,1,Ethnographic; Box,Bamboo,,Asia-Southeast Asia-Philippines-Lanao del Sur-,Mindanao; Malabang,,A painted bamboo box in a tubular shape.; ,,,8068,
8069,Ethnology & Material Culture,Accession Number: 278,Purchase,04/20/1926,1,Ethnographic; Box,Bamboo,,Asia-Southeast Asia-Philippines-Lanao del Sur-,Mindanao; Malabang,,A carved bamboo box with no cover.  It is tubular in shape and has rattan weaving near opening.; ,,,8069,
8070,Ethnology & Material Culture,Accession Number: 278,Purchase,04/20/1926,1,Ethnographic; Spoon,Coconut; Wood; Rattan,,Asia-Southeast Asia-Philippines-Lanao del Sur-,Mindanao; Malabang,,Coconut bowl attached to wood handle with rattan; ,,,8070,
8071,Ethnology & Material Culture,Accession Number: 278,Purchase,04/20/1926,1,Ethnographic; Ladle,Coconut; Wood,,Asia-Southeast Asia-Philippines-Lanao del Sur-,Mindanao; Taraka District,,Coconut dipper with wood handle; collected in 1904,,,8071,
8072,Ethnology & Material Culture,Accession Number: 278,Purchase,04/20/1926,1,Ethnographic; Ladle,Coconut palm frond,,Asia-Southeast Asia-Philippines--,,,A palm dipper.; ,,,8072,
8073,Ethnology & Material Culture,Accession Number: 278,Purchase,04/20/1926,1,Ethnographic; Ladle,Coconut palm frond,,Asia-Southeast Asia-Philippines--,,,A palm dipper.; ,,,8073,
8074,Ethnology & Material Culture,Accession Number: 278,Purchase,04/20/1926,1,Ethnographic; Box,Coconut; Fiber,,Asia-Southeast Asia-Philippines-Lanao del Sur-,Mindanao; Taraca District,Filipino,"A coconut shell box used as a food container (eggs, etc.)  It's made from a coconut with top cut off and a section of another coconut attached by fiber as lid.; When picked up this specimen had in it a dozen eggs. Picked up at Taraca, April 6, 1904",,,8074,
8075,Ethnology & Material Culture,Accession Number: 278,Purchase,04/20/1926,1,Ethnographic; Box,Coconut; Wood; Fiber,,Asia-Southeast Asia-Philippines-Lanao del Sur-,Mindanao; Taraca District,,"A coconut shell box used as a food container (eggs, etc.)  It's made from a coconut with top cut off and a section of another coconut attached by fiber as lid, and a piece of wood attached with fiber to create a handle.; ",,,8075,
8076,Ethnology & Material Culture,Accession Number: 278,Purchase,04/20/1926,1,Ethnographic; Box,Bamboo,,Asia-Southeast Asia-Philippines-Lanao del Sur-,Mindanao; Malabang,Filipino,"small bamboo joint box with a removable lid. The box is circular in shape with a slightly bulbous body - constricting at both neck and base. The lid is flat and has a piece of twine coming through a center hole. It was once attached to a hole on the side of the box. Dark brownish red in color, hand carved, two splits on the side.; ",,,8076,
8078,Ethnology & Material Culture,Accession Number: 278,Purchase,04/20/1926,1,Ethnographic; Bracelet,Silver; Brass,,Asia-Southeast Asia-Philippines--,,Moro,"1 silver bracelet with small brass lock, engraved design.  Worn by Moro women,; ",,,8078,
8082,Ethnology & Material Culture,Accession Number: 278,Purchase,04/20/1926,1,Ethnographic; Bead,Fiber; Glass; Copper; Animal bone,,Asia-Southeast Asia-Philippines-Lanao del Sur-,,Moro,"Blue beads and white beads strung together, and used as both prayer beads and medicine beads by the Panditas or Moro priests.  Item made of fiber string with teeth, copper wire, glass and bone beads.; ",,,8082,
8083,Ethnology & Material Culture,Accession Number: 278,Purchase,04/20/1926,1,Ethnographic; Bead,Seed; Fiber,,Asia-Southeast Asia-Philippines--,,,Seed prayer beads on fiber string.; ,,,8083,
8084,Ethnology & Material Culture,Accession Number: 278,Purchase,04/20/1926,1,Ethnographic; Necklace,Ivory; Glass; Wood; Bamboo,,Asia-Southeast Asia-Philippines--,,,A beaded necklace. Long beads are made of fine bamboo reeds which are painted in various colors;  small round beads are made of stained and polished wood.  Some beads may be glass.; ,,,8084,
8085,Ethnology & Material Culture,Accession Number: 278,Purchase,04/20/1926,1,Ethnographic; Bead,Horn; Glass,,Asia-Southeast Asia-Philippines-Lanao del Sur-,,Moro,"Carabao horn and glass beads threaded together, and used both as prayer beads and medicine beads by the Panditas or Moro priests.; ",,,8085,
8086,Ethnology & Material Culture,Accession Number: 278,Purchase,04/20/1926,1,Ethnographic; Necklace,Seed; Copper; Fiber; Animal bone,,Asia-Southeast Asia-Philippines--,,,"A necklace made of fiber string, teeth, copper wire, and seeds.; ",,,8086,
8087,Ethnology & Material Culture,Accession Number: 278,Purchase,04/20/1926,1,Ethnographic; Ring,Silver; Animal bone,,Asia-Southeast Asia-Philippines--,,,silver and tortoise shell ring; ,,,8087,
8089,Ethnology & Material Culture,Accession Number: 278,Purchase,04/20/1926,1,Ethnographic; Figurine,Brass,,Asia-Southeast Asia-Philippines-Lanao del Sur-,Mindanao; Malabang,Moro,A brass cobra figurine.  Snake made by Moros at Malabang Mindanas. P. 1.; ,,,8089,
8091,Ethnology & Material Culture,Accession Number: 278,Purchase,04/20/1926,1,Ethnographic; Figurine,Brass,,Asia-Southeast Asia-Philippines-Lanao del Sur-,Mindanao; Malabang,Moro,A brass lizard.; ,,,8091,
8092,Ethnology & Material Culture,Accession Number: 278,Purchase,04/20/1926,1,Ethnographic; Sample,Coral,,Asia-Southeast Asia-Philippines--,,,Unmodified black coral; ,,,8092,
8093,Ethnology & Material Culture,Accession Number: 278,Purchase,04/20/1926,1,Ethnographic; Sample,Coral,,Asia-Southeast Asia-Philippines--,,,Unmodified black coral. Stick-like.; ,,,8093,
8094,Ethnology & Material Culture,Accession Number: 278,"Purchase; found in the ""cotta"" or fort in the Taraka District, April 7, 1904",04/20/1926,1,Ethnographic; Mirror,Wood; Glass; Textile; Metal,,Asia-Southeast Asia-Philippines--,Mindanao;,,A mirror made of glass with a wooden frame and textile and metal attached. Mirror is cracked; ,,,8094,
8095,Ethnology & Material Culture,Accession Number: 278,Purchase,04/20/1926,1,Ethnographic; Scale,Brass; Fiber,,Asia-Southeast Asia-Philippines--,,Moro,A Moro scale made of brass and fiber.; ,,,8095,
8096,Ethnology & Material Culture,Accession Number: 278,Purchase,04/20/1926,1,Ethnographic; Chain,Metal; Wood,,Asia-Southeast Asia-Philippines--,,,A metal chain with wood at the ends.; ,,,8096,
8097,Ethnology & Material Culture,Accession Number: 278,Purchase,04/20/1926,1,Ethnographic; Chain,Metal,,Asia-Southeast Asia-Philippines--,,,A metal chain; ,,,8097,
8098,Ethnology & Material Culture,Accession Number: 278,Purchase,04/20/1926,1,Ethnographic; Chain,Brass,,Asia-Southeast Asia-Philippines--,,,A brass chain; ,,,8098,
8099,Ethnology & Material Culture,Accession Number: 278,Purchase,04/20/1926,1,Ethnographic; Chain,Brass,,Asia-Southeast Asia-Philippines--,,,A brass chain; ,,,8099,
8100,Ethnology & Material Culture,Accession Number: 278,Purchase,04/20/1926,1,Ethnographic; Unknown,Wood,,Asia-Southeast Asia-Philippines--,,,A bundle of 8 pieces of wood; ,image,/objects/8100_1.jpg,8100,image/jpg
8101,Ethnology & Material Culture,Accession Number: 278,Purchase,04/20/1926,1,Ethnographic; Horn,Horn,,Asia-Southeast Asia-Philippines--,,,A carved carabao horn.; ,image,/objects/8101_1.jpg,8101,image/jpg
8107,Ethnology & Material Culture,Accession Number: 278,Purchase,04/20/1926,1,Ethnographic; Walking stick/cane,Bamboo,,Asia-Southeast Asia-Philippines--,,,A carved bamboo cane with a curved handle.; ,,,8107,
8109,Ethnology & Material Culture,Accession Number: 278,Purchase,04/20/1926,1,Ethnographic; Walking stick/cane,Wood; Silver,,Asia-Southeast Asia-Philippines--,,,"A wooden cane with a silver tip and top, and a Philippines 20 centavo coin.; ",,,8109,
8110,Ethnology & Material Culture,Accession Number: 278,Purchase,04/20/1926,1,Ethnographic; Walking stick/cane,Wood; Silver,,Asia-Southeast Asia-Philippines--,,,A wooden cane with a silver tip and top.; ,,,8110,
8111,Ethnology & Material Culture,Accession Number: 278,Purchase,04/20/1926,1,Ethnographic; Walking stick/cane,Wood; Ivory; Silver,,Asia-Southeast Asia-Philippines--,,,"A wooden cane with a silver tip, and silver and tusk on the handle.; ",,,8111,
8112,Ethnology & Material Culture,Accession Number: 278,Purchase,04/20/1926,1,Ethnographic; Walking stick/cane,Wood; Animal bone,,Asia-Southeast Asia-Philippines--,,,A black and white stripped cane made of bone and wood.; ,,,8112,
8113,Ethnology & Material Culture,Accession Number: 278,Purchase,04/20/1926,1,Ethnographic; Walking stick/cane,Wood,,Asia-Southeast Asia-Philippines--,,,A brown cane made of wood.; ,,,8113,
8122,Ethnology & Material Culture,Accession Number: 278,Purchase,04/20/1926,1,Ethnographic; Saw,Animal bone,,Asia-Southeast Asia-Philippines--,,,The saw from a sawfish.; ,,,8122,
8124,Ethnology & Material Culture,Accession Number: 278,Purchase,04/20/1926,1,Ethnographic; Stopper,Wood,,Asia-Southeast Asia-Philippines--,,,Wooden stopper.  Round with crown-shaped top; ,,,8124,
8137,Ethnology & Material Culture,Accession Number: 278,Purchase,04/20/1926,1,Ethnographic; Unworked Animal Bone,Baleen (whalebone),,Asia-Southeast Asia-Philippines--,,,"Bundle of whalebone, baleen; ",image,/objects/8137_1.jpg,8137,image/jpg
8140,Ethnology & Material Culture,Accession Number: 278,Purchase,04/20/1926,1,Ethnographic; Ornament,Metal,,Asia-Southeast Asia-Philippines--,,,Filigree metal work; ,,,8140,
8141,Ethnology & Material Culture,Accession Number: 278,Purchase,04/20/1926,1,Ethnographic; Sheath,Wood; Botanical; Metal,,Asia-Southeast Asia-Philippines--,,,"One wooden scabbard with floral carvings at both ends, rigid plant material braid wrapped near the top, metal wire wrapped around the middle, and a coil of metal wire wrapped around at the end.; ",,,8141,
8146,Ethnology & Material Culture,Accession Number: 278,Purchase,04/20/1926,1,Ethnographic; Box,Brass; Wood,,Asia-Southeast Asia-Philippines--,,,One large buyo box made of brass and lined with wood.; ,,,8146,
8147,Ethnology & Material Culture,Accession Number: 278,Purchase,04/20/1926,1,Ethnographic; Box,Brass,,Asia-Southeast Asia-Philippines--,,,One small rectangular buyo box (betel nut box?); ,,,8147,
8149,Ethnology & Material Culture,Accession Number: 278,Purchase,04/20/1926,1,Ethnographic; Box,Brass,,Asia-Southeast Asia-Philippines--,,,One hexagonal buyo box made of brass.; ,,,8149,
8150,Ethnology & Material Culture,Accession Number: 278,Purchase,04/20/1926,1,Ethnographic; Box,Brass,,Asia-Southeast Asia-Philippines--,,,"One broken buyo box made of brass and carried in sash.  Note reads, ""this box was taken from the body of one of Panglina Hasan's chief at Seat Lake, Jolo Island, November 14, 1903.  Two bullets passed through this specimen.""; ",,,8150,
8151,Ethnology & Material Culture,Accession Number: 278,Purchase,04/20/1926,1,Ethnographic; Box,Brass,,Asia-Southeast Asia-Philippines--,,,One hexagonal buyo box made of brass.; ,,,8151,
8154,Ethnology & Material Culture,Accession Number: 278,Purchase,04/20/1926,1,Ethnographic; Box,Brass,,Asia-Southeast Asia-Philippines-Lanao del Sur-,Taraca District,,"One crescent-shaped buyo box made of brass, from Taraca District,1904.; ",,,8154,
8155,Ethnology & Material Culture,Accession Number: 278,Purchase,04/20/1926,1,Ethnographic; Box,Brass,,Asia-Southeast Asia-Philippines--,,,One buyo box made of brass.; ,,,8155,
8156,Ethnology & Material Culture,Accession Number: 278,Purchase,04/20/1926,1,Ethnographic; Box,Brass,,Asia-Southeast Asia-Philippines--,,Filipino,One brass buyo box with chain and bells.; ,,,8156,
8157,Ethnology & Material Culture,Accession Number: 278,Purchase,04/20/1926,1,Ethnographic; Box,Brass,,Asia-Southeast Asia-Philippines--,,,One buyo box made of brass.; ,,,8157,
8158,Ethnology & Material Culture,Accession Number: 278,Purchase,04/20/1926,1,Ethnographic; Box,Brass,,Asia-Southeast Asia-Philippines--,,,One semi-circular buyo box made of brass.; ,,,8158,
8159,Ethnology & Material Culture,Accession Number: 278,Purchase,04/20/1926,1,Ethnographic; Box,Brass,,Asia-Southeast Asia-Philippines--,,,One small buyo box made of brass with dried leaves inside.; ,,,8159,
8160,Ethnology & Material Culture,Accession Number: 278,Purchase,04/20/1926,1,Ethnographic; Box,Brass,,Asia-Southeast Asia-Philippines--,,,One buyo box made of brass.; ,,,8160,
8161,Ethnology & Material Culture,Accession Number: 278,Purchase,04/20/1926,1,Ethnographic; Rifle,Wood; Steel,,Asia-Southeast Asia-Philippines--,,,"Spanish mauser with bolt and firing pin missing. Printed on gun ""Mauser Espanol Modelo, 1893"" ""Manufactura Loewe Berlin"", Ma 162; ",,,8161,
8162,Ethnology & Material Culture,Accession Number: 278,Purchase,04/20/1926,2,Ethnographic; Spear,Bamboo,,Asia-Southeast Asia-Philippines--,,,"1 fighting spear and scabbard. Captured in Faraca district? Used in fighting American soldiers. April 1-11, 1903 


A. spear, bamboo, metal, rattan, fiber 

spear made with long bamboo shaft. The upper section of the shaft is enclosed by a metal tube with 3 raised sections of bonds. This probably serves as a ferrule? A few other sections of the shaft near this are wrapped with rattan bands and a fiber cord. A metal wire wraps around the shaft in a few places and runs the length of the shaft near the top, winding around itself in sections. Attached to that end is a metal head with a thick base and an elongated triangular shaped blade that tapers to a point. The metal head has been coated in something thatmakes it glossy.  


B. sheath, wood, rattan. Measures: 41 by 7 by 4 

sheath fits over blade. Made of 2 pieces of dark colored light weight wood cut so they form identical halves that form a sheath when fitted together. At the end, the wood flares out forming a bulbous tip. The sheath is held together by 2 bands of woven rattan.; ",,,8162,
8163,Ethnology & Material Culture,Accession Number: 278,Purchase,04/20/1926,1,Ethnographic; Spear,Bamboo; Rattan; Metal,,Asia-Southeast Asia-Philippines--,,,"1 fighting spear and scabbard 


Spear made of long bamboo (or other segmented wood) shaft, narrower at proximal end and thicker at distal (point) end.  A small section of woven rattan is wrapped around the shaft a few cm from a metal ferrule right before the point.  The ferrule has two decorated bands.  The ferrule and point are made of two different types of metal.  The point is narrow at the base where it attaches and then broadens out, tapering slightly to a point.  The point is large, sharp on both sides, and is thick at the midline, thinning out toward the sides.; scabbard is missing.  1/2008",,,8163,
8164,Ethnology & Material Culture,Accession Number: 278,Purchase,04/20/1926,1,Ethnographic; Spear,Bamboo; Rattan; Metal; Fiber,,Asia-Southeast Asia-Philippines--,,,"1 fighting spear and scabbard.  Captured in Tarara (Jarara?) District, used in fighting American soldiers April 1-11, 1903. 


Spear with long bamboo (or other wood that grows in segments) shaft.  A section near the head is wrapped in woven rattan, probably the secure the haft point.  A few strips of twisted fiber are also wrapped around the shaft here.  The metal blade is attached at this end and is shaped like a long narrow triangle with a sharp point.; scabbard missing, only spear found 1/2008",,,8164,
8165,Ethnology & Material Culture,Accession Number: 278,Purchase,04/20/1926,2,Ethnographic; Spear,Wood; Rattan; Metal,,Asia-Southeast Asia-Philippines--,,,"1 fighting spear and scabbard. Captured in Taraca District? On or about April 5, 1904 


A. spear of wood, rattan and metal 

spear of long wood shaft. At the head end the spear has a short sections wrapped with woven rattan. Above that is a metal ferrle? And an attached crossguard. The blade is attached beyond this. It has a thick base and scalloped edges that narrow toward the rounded tip. Blade has been coated with unknown substance.  


B. sheath of wood and rattan. Made of 2 pieces of light weight wood cut so they form identical havles that fit together to form a sheath. At the end the wood flares out forming a bulbous tip. The shaft is held together by 2 small sections of woven rattan and 1 larger section of banded rattan. Measures 41 by 7 by 4; ",,,8165,
